id,name,category,glass,alcoholic,instructions,ingredient1,measure1,ingredient2,measure2,ingredient3,measure3
17222,"A1","Cocktail","Cocktail glass","Alcoholic","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.","Gin","1 3/4 shot ","Grand Marnier","1 Shot ","Lemon Juice","1/4 Shot"
13501,"ABC","Shot","Shot glass","Alcoholic","Layered in a shot glass.","Amaretto","1/3 ","Baileys irish cream","1/3 ","Cognac","1/3 "
17225,"Ace","Cocktail","Martini Glass","Alcoholic","Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.","Gin","2 shots ","Grenadine","1/2 shot ","Heavy cream","1/2 shot "
14610,"ACID","Shot","Shot glass","Alcoholic","Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.","151 proof rum","1 oz Bacardi ","Wild Turkey","1 oz ","",""
13938,"AT&T","Ordinary Drink","Highball Glass","Alcoholic","Pour Vodka and Gin over ice, add Tonic and Stir","Absolut Vodka","1 oz ","Gin","1 oz ","Tonic water","4 oz "
17837,"Adam","Ordinary Drink","Cocktail glass","Alcoholic","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","Dark rum","2 oz ","Lemon juice","1 oz ","Grenadine","1 tsp "
17833,"A. J.","Ordinary Drink","Cocktail glass","Alcoholic","Shake ingredients with ice, strain into a cocktail glass, and serve.","Applejack","1 1/2 oz ","Grapefruit juice","1 oz ","",""
17839,"Affair","Ordinary Drink","Highball glass","Alcoholic","Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.","Strawberry schnapps","2 oz ","Orange juice","2 oz ","Cranberry juice","2 oz "
15266,"Avalon","Ordinary Drink","Highball glass","Alcoholic","Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.","Vodka","3 parts","Pisang Ambon","1 part ","Apple juice","6 parts "
15106,"Apello","Other / Unknown","Collins Glass","Non alcoholic","Stirr. Grnish with maraschino cherry.","Orange juice","4 cl ","Grapefruit juice","3 cl ","Apple juice","1 cl "
11023,"Almeria","Ordinary Drink","Cocktail glass","Alcoholic","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","Dark rum","2 oz ","Kahlua","1 oz ","Egg white","1 "
17835,"Abilene","Ordinary Drink","Highball glass","Alcoholic","Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.","Dark rum","1 1/2 oz ","Peach nectar","2 oz ","Orange juice","3 oz "
17228,"Addison","Cocktail","Martini Glass","Alcoholic","Shake together all the ingredients and strain into a cold glass.","Gin","1 1/2 shot ","Vermouth","1 1/2 shot ","",""
17180,"Aviation","Cocktail","Cocktail glass","Alcoholic","Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.","Gin","4.5 cl","lemon juice","1.5 cl","maraschino liqueur","1.5 cl"
11046,"Applecar","Ordinary Drink","Cocktail glass","Alcoholic","Shake all ingredients with ice, strain into a cocktail glass, and serve.","Applejack","1 oz ","Triple sec","1 oz ","Lemon juice","1 oz "
17840,"Affinity","Ordinary Drink","Cocktail glass","Alcoholic","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","Scotch","1 1/2 oz ","Sweet Vermouth","1 oz ","Dry Vermouth","1 oz "
