name,category,glass,ingredients,preparation
"Vesper","Before Dinner Cocktail","martini","Gin: 6; Vodka: 1.5; Lillet Blonde: 0.75","Shake and strain into a chilled cocktail glass."
"Bacardi","Before Dinner Cocktail","martini","White rum: 4.5; Lime juice: 2; Syrup: 1","Shake with ice cubes. Strain into chilled cocktail glass."
"Negroni","Before Dinner Cocktail","old-fashioned","Gin: 3; Campari: 3; Vermouth: 3","Build into old-fashioned glass filled with ice. Stir gently."
"Rose","","martini","Kirsch: 2; Vermouth: 4; undefined: undefined","Stir all ingredients with ice and strain into a cocktail glass."
"Old Fashioned","Before Dinner Cocktail","old-fashioned","Whiskey: 4.5; undefined: undefined; undefined: undefined; undefined: undefined","Place sugar cube in old-fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolve. Fill the glass with ice cubes and add whisky."
"Tuxedo","All Day Cocktail","martini","Gin: 3; Vermouth: 3; undefined: undefined; undefined: undefined; undefined: undefined","Stir all ingredients with ice and strain into cocktail glass."
"Mojito","Longdrink","collins","White rum: 4; Lime juice: 3; undefined: undefined; undefined: undefined; undefined: undefined","Muddle mint sprigs with sugar and lime juice. Add splash of soda water and fill glass with cracked ice. Pour rum and top with soda water. Serve with straw."
"Horse's Neck","Longdrink","highball","Cognac: 4; Ginger Ale: 12; undefined: undefined","Build into highball glass with ice cubes. Stir gently. If required, add dashes of Angostura bitters."
"Planter's Punch","Longdrink","highball","Dark rum: 4.5; Orange juice: 3.5; Pineapple juice: 3.5; Lemon juice: 2; Syrup: 1; Syrup: 1; undefined: undefined","Pour all ingredients, except the bitters, into shaker filled with ice. Shake. Pour into large glass, filled with ice. Add Angostura bitters, “on top”."
"Sea Breeze","Longdrink","highball","Vodka: 4; Cranberry juice: 12; Grapefruit juice: 3","Build all ingredients in a rock glass filled with ice."
"Pisco Sour","All Day Cocktail","old-fashioned","Pisco: 4.5; Lemon juice: 3; Syrup: 2; undefined: undefined","Shake and strain into a chilled champagne flute. Dash some Angostura bitters on top."
"Long Island Iced Tea","Longdrink","highball","Tequila: 1.5; Vodka: 1.5; White rum: 1.5; Triple Sec: 1.5; Gin: 1.5; Lemon juice: 2.5; Syrup: 3; undefined: undefined","Add all ingredients into highball glass filled with ice. Stir gently. Serve with straw."
"Clover Club","All Day Cocktail","martini","Gin: 4.5; Syrup: 1.5; Lemon juice: 1.5; undefined: undefined","Shake with ice cubes. Strain into cocktail glass."
"Angel Face","All Day Cocktail","martini","Gin: 3; Apricot brandy: 3; Calvados: 3","Shake with ice cubes. Strain into a cocktail glass."
"Mimosa","Sparkling Cocktail","champagne-flute","Champagne: 7.5; Orange juice: 7.5","Pour orange juice into flute and gently pour Champagne. Stir gently. Note: Buck's Fizz is a very similar cocktail but made of two parts champagne to one part orange juice."
"Whiskey Sour","Before Dinner Cocktail","old-fashioned","Whiskey: 4.5; Lemon juice: 3; Syrup: 1.5","Dash egg white (Optional: if used shake little harder to foam up the egg white). Pour all ingredients into cocktail shaker filled with ice. Shake. Strain into cocktail glass. If served ‘On the rocks’, strain ingredients into old-fashioned glass filled with ice."
"Screwdriver","All Day Cocktail","highball","Vodka: 5; Orange juice: 10","Build into a highball glass filled with ice. Stir gently."
"Cuba Libre","Longdrink","highball","White rum: 5; Cola: 12; Lime juice: 1","Build all ingredients in a highball glass filled with ice."
"Manhattan","Before Dinner Cocktail","martini","Whiskey: 5; Vermouth: 2; undefined: undefined","Stir in mixing glass with ice cubes. Strain into chilled cocktail glass."
"Porto Flip","After Dinner Cocktail","martini","Cognac: 1.5; Red Port: 4.5; Egg yolk: 1","Shake with ice cubes. Strain into cocktail glass. Sprinkle with fresh ground nutmeg."
"Gin Fizz","Longdrink","highball","Gin: 4.5; Lemon juice: 3; Syrup: 1; Soda water: 8","Shake all ingredients with ice cubes, except soda water. Pour into tumbler. Top with soda water."
"Espresso Martini","After Dinner Cocktail","martini","Vodka: 5; Coffee liqueur: 1; undefined: undefined; undefined: undefined","Shake and strain into a chilled cocktail glass."
"Margarita","All Day Cocktail","margarita","Tequila: 3.5; Triple Sec: 2; Lime juice: 1.5","Shake with ice cubes. Strain into cocktail glass rimmed with salt (note:Fruit Margarita - blend selected fruit with the above recipe)."
"French 75","Sparkling Cocktail","champagne-tulip","Gin: 3; Lemon juice: 1.5; undefined: undefined; Champagne: 6","Shake with ice cubes, except for champagne. Strain into a champagne flute. Top up with champagne. Stir gently."
"Yellow Bird","All Day Cocktail","martini","White rum: 3; Galliano: 1.5; Triple Sec: 1.5; Lime juice: 1.5","Shake and strain into a chilled cocktail glass."
"Pina Colada","Longdrink","hurricane","White rum: 3; Pineapple juice: 9; Coconut milk: 3","Blend all the ingredients with ice in a electric blender, pour into a large goblet or Hurricane glass and serve with straws."
"Aviation","All Day Cocktail","martini","Gin: 4.5; Cherry liqueur: 1.5; Lemon juice: 1.5","Shake and strain into a chilled cocktail glass."
"Bellini","Sparkling Cocktail","champagne-flute","Prosecco: 10; Peach puree: 5","Pour peach puree into chilled glass and add sparkling wine. Stir gently. Variations: Puccini (fresh mandarin juice), Rossini (fresh strawberry puree), Tintoretto (fresh pomegranate juice)"
"Grasshopper","After Dinner Cocktail","martini","Créme liqueur: 3; Créme liqueur: 3; Cream: 3","Shake with ice cubes. Strain into chilled cocktail glass."
"Tequila Sunrise","Longdrink","highball","Tequila: 4.5; Orange juice: 9; Syrup: 1.5","Build tequila and orange juice into highball with ice cubes. Add a splash of grenadine to create sunrise effect. Do not stir."
"Daiquiri","Before Dinner Cocktail","martini","White rum: 4.5; Lime juice: 2.5; Syrup: 1.5","Shake and strain into a cocktail glass."
"Rusty Nail","After Dinner Cocktail","old-fashioned","Whiskey: 4.5; Drambuie: 2.5","Build into old-fashioned glass filled with ice. Stir gently."
"B52","After Dinner Cocktail","shot","Coffee liqueur: 2; Cream liqueur: 2; Triple Sec: 2","Layer ingredients one at a time starting with Kahlúa, followed by Baileys Irish Cream and top with Grand Marnier. Flame the Grand Marnier, serve while the flame is still on, accompanied with a straw on side plate."
"Stinger","After Dinner Cocktail","martini","Cognac: 5; Créme liqueur: 2","Stir in mixing glass with ice cubes. Strain into a cocktail glass."
"Golden Dream","After Dinner Cocktail","martini","Galliano: 2; Triple Sec: 2; Orange juice: 2; Cream: 1","Shake with ice cubes. Strain into chilled cocktail glass."
